ID,f1KanzleiNummer,Niederlassung,Strasse,Hausnr,StrasseZusatz,PLZ,Ort,OrtZusatz,eMail,Vertragsart,ETAXBeraternummer,LohnBeraternummer,reweTestkanzlei,SageAccEdition,VirtuellesETAX,ETLNummerStammkanzlei,NameStammkanzlei,OrtStammkanzlei,Bemerkung,DatenOK,BeitragMonatlich,BeitragBerechnetJahr,BeitragMonatlichReduziert,BeitragBerechnetJahrReduziert,StartDatum,KuendigungDatum,AusgesetztBis,SCSBereich
20,8066,Steinfurt,Emsdettener Straße,48,,48565,Steinfurt,,steinfurt@felix1.de,Standardvertrag,58066,98066,FALSCH,FALSCH,Nein,260,Seimetz GmbH Steinfurt,Steinfurt,22.06.15: nur Verm. von Premium-Mdt,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
21,8068,Dettingen an der Erms,Metzinger Straße,88,,72581,Dettingen an der Erms,,dettingen@felix1.de,Standardvertrag,58068,98068,WAHR,FALSCH,Nein,1540,ADVISA Metzingen,Dettingen an der Erms,,FALSCH,191,"2291,52",,,01.07.2014,,,Essen
22,8078,Berlin - Hönower Straße,Hönower Straße,98,,12623,Berlin,- Mahlsdorf,lemke-berlin@felix1.de,Standardvertrag,58078,98078,FALSCH,FALSCH,Nein,4701,K&P Berlin-Mahlsdorf,Berlin - Mahlsdorf,hat gekündigt,FALSCH,637,"7638,48",,,01.07.2014,31-Jul-16,,Berlin
23,8079,Wanzleben-Börde,Ritterstraße,14,,39164,Wanzleben-Börde,,wanzleben@felix1.de,Alternativvertrag,58079,98079,FALSCH,FALSCH,Nein,4098,F&P Wanzleben,Wanzleben-Börde,,FALSCH,191,"2291,52",,,01.07.2014,,,Berlin
24,8081,Meyenburg,Heinrich-Heine-Straße,48,,16945,Meyenburg,,meyenburg@felix1.de,Alternativvertrag,58081,98081,WAHR,WAHR,Nein,4330,S&P Meyenburg,Meyenburg,,FALSCH,191,"2291,52",,,01.08.2014,,,Neubrandenburg
25,8086,Duisburg,Ruhrorter Straße,67-69,,47059,Duisburg,,schwertfeger-duisburg@felix1.de,Standardvertrag,58086,98086,FALSCH,FALSCH,Nein,1153,ADVISA-BBS,Duisburg,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
26,8087,Dortmund - Stockumer Straße,Stockumer Straße,475,,44227,Dortmund,,regener-dortmund@felix1.de,Standardvertrag,58087,98087,FALSCH,FALSCH,Nein,,ADVISA FBS Dortmund,Dortmund,,FALSCH,637,"7638,48",,,01.07.2014,31-Okt-15,,Essen
27,8088,Berlin - Franz-Jacob-Straße,Franz-Jacob-Straße,2,,10369,Berlin,,greskowiak-berlin@felix1.de,Alternativvertrag,58088,98088,WAHR,FALSCH,Nein,4901,RUB-DV Berlin,Berlin,,FALSCH,191,"2291,52",,,01.07.2014,,,Berlin
28,8089,Berlin - Esplanade,Esplanade,12,,13187,Berlin,,werner-berlin@felix1.de,Standardvertrag,58089,98089,WAHR,FALSCH,Nein,4801,"T,G&P Berlin",Berlin,,FALSCH,637,"7638,48",,,01.07.2014,,,Berlin
29,8091,Neubrandenburg,Friedrich-Engels-Ring,49,,17033,Neubrandenburg,,jaensch-neubrandenburg@felix1.de,Standardvertrag,58091,98091,FALSCH,FALSCH,Nein,5006,ETL-SCS AG Neubrandenburg,Neubrandenburg,,FALSCH,318,"3819,24",,,01.07.2014,,,Neubrandenburg
30,8093,Werther (Westf.),Nordstraße,30,,33824,Werther (Westf.),,werther@felix1.de,Standardvertrag,58093,98093,WAHR,FALSCH,Nein,1122,"ETL Miller,Spilker&Koll. Werther",Werther (Westf.),,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
31,8100,Eberswalde,Friedrich-Ebert-Straße,0,,16225,Eberswalde,,eberswalde@felix1.de,Alternativvertrag,58100,98100,WAHR,FALSCH,Nein,2175,B.R.D. Eberswalde,Eberswalde,,FALSCH,191,"2291,52",,,01.07.2014,,,Berlin
32,8104,Potsdam - Rudolf-Breitscheid-Straße,Rudolf-Breitscheid-Straße,29,,14482,Potsdam,,lamm-potsdam@felix1.de,Alternativvertrag,58104,98104,FALSCH,FALSCH,Nein,4706,K&P Potsdam,Potsdam,,FALSCH,191,"2291,52",,,01.07.2014,,,Berlin
33,8108,Leipzig,Kohlenstraße,2,,04107,Leipzig,,mueller-leipzig@felix1.de,Standardvertrag,58108,98108,FALSCH,FALSCH,Nein,4705,K&P Leipzig,Leipzig,,FALSCH,318,"3819,24",,,01.07.2014,,,Berlin
34,8109,Heidelberg,Dossenheimer Landstraße,49,,69121,Heidelberg,,heidelberg@felix1.de,Standardvertrag,58109,98109,FALSCH,FALSCH,Nein,6190,ANTAX Heidelberg,Heidelberg,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
35,8110,Halle (Saale) - Große Ulrichstraße,Große Ulrichstraße,59-60,,06108,Halle (Saale),,kindling-halle@felix1.de,Standardvertrag,58110,98110,FALSCH,FALSCH,Nein,4313,S&P Halle,Halle (Saale),,FALSCH,637,"7638,48",,,01.07.2014,31-Dez-15,,Berlin
36,8111,Flöha,Erdmannsdorfer Straße,4,,09557,Flöha,,floeha@felix1.de,Alternativvertrag,58111,98111,FALSCH,FALSCH,Nein,4158,F&P Flöha,Flöha,,FALSCH,191,"2291,52",,,01.07.2014,,,Erfurt
37,8112,Berlin - Mollstraße,Mollstraße,32,,10249,Berlin,,herold-krauss-berlin@felix1.de,Standardvertrag,58112,98112,WAHR,FALSCH,Nein,1490,"Herold,Krauß&Koll. Berlin",Berlin,,FALSCH,637,"7638,48",,,01.07.2014,,,Berlin
38,8114,Neustadt i. Sa.,Karl-Liebknecht-Straße,13,,01844,Neustadt i. Sa.,,kramer-neustadt@felix1.de,Standardvertrag,58114,98114,WAHR,WAHR,Nein,4119,F&P Neustadt,Neustadt i. Sa.,,FALSCH,637,"7638,48",,,01.07.2014,,,Erfurt
39,8115,Nahetal-Waldau,Am Sportplatz,17,,98553,Nahetal-Waldau,,waldau@felix1.de,Alternativvertrag,58115,98115,FALSCH,FALSCH,Nein,4096,F&P Waldau,Nahetal-Waldau,,FALSCH,191,"2291,52",,,01.07.2014,,,Erfurt
40,8117,Halberstadt,Bernhard-Thiersch-Straße,4,,38820,Halberstadt,,halberstadt@felix1.de,Standardvertrag,58117,98117,FALSCH,FALSCH,Nein,4213,F&P Halberstadt,Halberstadt,,FALSCH,637,"7638,48",,,01.07.2014,31-Dez-15,,Berlin
41,8118,Eisenach - Uferstraße,Uferstraße,46,,99817,Eisenach,,stoltmann-eisenach@felix1.de,Alternativvertrag,58118,98118,WAHR,FALSCH,Nein,4929,RUB-DV Eisenach,Eisenach,,FALSCH,191,"2291,52",,,01.07.2014,,,Erfurt
42,8120,Worms,Alzeyer Straße,39,,67549,Worms,,worms@felix1.de,Standardvertrag,58120,98120,FALSCH,FALSCH,Ja,1891,Korb&Carle Worms,Worms,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
43,8123,Schwerin - Mecklenburgstraße,Mecklenburgstraße,97,,19053,Schwerin,,fremuth-schwerin@felix1.de,Alternativvertrag,58123,98123,WAHR,FALSCH,Nein,4412,H&P Schwerin,Schwerin,,FALSCH,191,"2291,52",,,01.07.2014,,,Neubrandenburg
44,8124,Schwerin - Wismarsche Straße,Wismarsche Straße,184,,19053,Schwerin,,winkler-schwerin@felix1.de,Standardvertrag,58124,98124,WAHR,FALSCH,Nein,5210,Fu&P Schwerin,Schwerin,,FALSCH,637,"7638,48",,,01.07.2014,,,Neubrandenburg
45,8126,Lutherstadt Wittenberg - Berliner Straße 1,Berliner Straße,1,,06886,Lutherstadt Wittenberg,,gerds-wittenberg@felix1.de,Standardvertrag,58126,98126,FALSCH,FALSCH,Nein,4106,F&P Wittenberg,Lutherstadt Wittenberg,,FALSCH,637,"7638,48",,,01.07.2014,,,Berlin
46,8128,Frankfurt (Oder) - Franz-Mehring-Straße,Franz-Mehring-Straße,23a,,15230,Frankfurt (Oder),,weissler-frankfurt-oder@felix1.de,Standardvertrag,58128,98128,FALSCH,FALSCH,Nein,4020,F&P Frankfurt (Oder),Frankfurt (Oder),,FALSCH,637,"7638,48",,,01.07.2014,,,Berlin
47,8132,Crimmitschau,Gabelsbergerstraße,10,,08451,Crimmitschau,,crimmitschau@felix1.de,Standardvertrag,58132,98132,WAHR,FALSCH,Nein,1320,RHE-EL Gärtner Crimmitschau,Crimmitschau,,FALSCH,637,"7638,48",,,01.07.2014,,,Erfurt
48,8133,Braunschweig - Frankfurter Straße,Frankfurter Straße,254,,38122,Braunschweig,,deumeland-braunschweig@felix1.de,Standardvertrag,58133,98133,FALSCH,FALSCH,Ja,1989,Brüderle & Kollegen GmbH,Braunschweig,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
49,8135,Bielefeld - Steubenstraße 4,Steubenstraße,4,,33609,Bielefeld,,horstkoetter-bielefeld@felix1.de,Standardvertrag,58135,98135,WAHR,FALSCH,JA,2220,ETL Horstkötter Bielefeld,Bielefeld,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
51,8137,Berlin - Spreeufer,Spreeufer,5,,10178,Berlin,,berlin-mitte@felix1.de,Standardvertrag,58137,98137,FALSCH,WAHR,Nein,4718,K&P Berlin,Berlin,,FALSCH,637,"7638,48",,,01.07.2014,,,Berlin
52,8138,Berlin - Heerstraße,Heerstraße,18-20,,14052,Berlin,,breetz-berlin@felix1.de,Standardvertrag,58138,98138,FALSCH,FALSCH,Nein,1899,BBI,Berlin,,FALSCH,637,"7638,48",,,01.07.2014,31-Jul-16,,Berlin
53,8142,Angermünde,Oderberger Straße,8,,16278,Angermünde,,angermuende@felix1.de,Standardvertrag,58142,98142,WAHR,FALSCH,Nein,4001,F&P Angermünde,Angermünde,,FALSCH,637,"7638,48",,,01.07.2014,,,Berlin
54,8143,Großwallstadt,Lützeltaler Straße,5c,,63868,Großwallstadt,,grosswallstadt@felix1.de,Alternativvertrag,58143,98143,FALSCH,WAHR,Ja,1136,con.tax Großwallstadt,Großwallstadt,,FALSCH,191,"2291,52",,,01.10.2014,,,Essen
55,8144,Bitterfeld-Wolfen,Siebenhausen,63,,06766,Bitterfeld-Wolfen,OT Bobbau,bitterfeld-wolfen@felix1.de,Standardvertrag,58144,98144,FALSCH,FALSCH,Nein,5113,HOS Bitterfeld-Wolfen,Bitterfeld-Wolfen,,FALSCH,637,"7638,48",,,01.07.2014,,,Berlin
56,8145,Mannheim,Am Victoria-Turm,2,,68163,Mannheim,,mannheim@felix1.de,Standardvertrag,58145,98145,FALSCH,FALSCH,JA,1945,Theurer&Kollegen Mannheim,Mannheim,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
57,8146,Haßloch,Rosenstraße,46,,67454,Haßloch,,hassloch@felix1.de,Standardvertrag,58146,98146,FALSCH,FALSCH,Nein,6970,Numrich&Collegen Haßloch,Haßloch,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
58,8147,Göttingen,Bürgerstraße,20,,37073,Göttingen,,goettingen@felix1.de,Standardvertrag,58147,98147,FALSCH,FALSCH,Nein,2250,ADVISA Göttingen,Göttingen,MM v. 18.2.16: Aussetzen der felix1.de-Kooperationsgebühren bis einschließlich 8/2016 ; keine Vermittlung von Mandanten bis dahin,FALSCH,0,0,,,01.07.2014,,30.8.2016,Essen
59,8148,Flensburg,Wittenberger Weg,8a,,24941,Flensburg,,flensburg@felix1.de,Alternativvertrag,58148,98148,FALSCH,FALSCH,Nein,1121,ETL ADVISA GmbH Steuerberatungsgesellschaft,Flensburg,,FALSCH,191,"2291,52",,,01.07.2014,,,Essen
60,8149,Lübeck,Am Flugplatz,4,Haus 13,23560,Lübeck,,luebeck@felix1.de,Alternativvertrag,58149,98149,FALSCH,FALSCH,Nein,1091,ETL Gersdorf&Collegen Lübeck,Lübeck,Freistellung von Grundgebühren von 09/15 bis 12/16,FALSCH,0,0,,,01.07.2014,,28.02.2016,Essen
61,8152,Köln - Rösrather Straße,Rösrather Straße,759,,51107,Köln,,reutershan-koeln@felix1.de,Standardvertrag,58152,98152,FALSCH,FALSCH,Nein,10,DELTAX Köln,Köln,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
62,8153,Bottrop,Peterstraße,9,,46236,Bottrop,,bottrop@felix1.de,Standardvertrag,58153,98153,FALSCH,WAHR,Nein,1270,ETL ADVISA,Bottrop,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
63,8154,Dortmund - Hauert (10179),Hauert,3,,44227,Dortmund,,gebauer-dortmund@felix1.de,Standardvertrag,58154,98154,WAHR,FALSCH,Nein,1983,GBF-Treuhand Dortmund,Dortmund,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
64,8157,Radeberg,Badstraße,12,,01454,Radeberg,,radeberg@felix1.de,Alternativvertrag,58157,98157,WAHR,FALSCH,Nein,4139,F&P Radeberg,Radeberg,,FALSCH,191,"2291,52",,,01.07.2014,,,Erfurt
65,8160,Hamburg - Banksstraße,Banksstraße,4,,20097,Hamburg,,mochnik-hamburg@felix1.de,Standardvertrag,58160,98160,WAHR,FALSCH,Nein,2870,ADVIMED Hamburg,Hamburg,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
66,8161,Hamburg - Borsteler Chaussee,Borsteler Chaussee,47,,22453,Hamburg,,lippke-hamburg@felix1.de,Standardvertrag,58161,98161,FALSCH,FALSCH,Nein,410,Wehling & P Hamburg,Hamburg,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
67,8162,München - Candidplatz,Candidplatz,13,,81543,München,,zetzl-muenchen@felix1.de,Standardvertrag,58162,98162,FALSCH,FALSCH,Ja,1996,TGM München,München,,FALSCH,637,"7638,48",,,01.07.2014,30-Apr-16,,Essen
68,8163,Nellingen,Aicher Straße,2,,89191,Nellingen,,nellingen@felix1.de,Standardvertrag,58163,98163,WAHR,FALSCH,Nein,1923,Singerer u. Koll. Nellingen,Nellingen,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
69,8164,Köln - Oststraße,Oststraße,0,Rhein-Carré,50996,Köln,,nacken-koeln@felix1.de,Standardvertrag,58164,98164,FALSCH,FALSCH,Nein,9076,NHP,Köln,,FALSCH,637,"7638,48",,,01.07.2014,30-Nov-16,,Essen
70,8165,Mainz,August-Horch-Straße,20,,55129,Mainz,OT Hechtsheim,mainz@felix1.de,Alternativvertrag,58165,98165,FALSCH,FALSCH,Nein,1884,Rhe-Ma Mainz,Mainz,,FALSCH,191,"2291,52",,,01.07.2014,30-Nov-15,,Essen
71,8166,Köln - Konrad-Adenauer-Ufer,Konrad-Adenauer-Ufer,83,,50668,Köln,,schulze-koeln@felix1.de,Standardvertrag,58166,98166,WAHR,FALSCH,JA,1125,ETL HMS Köln,Köln,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
72,8167,Aachen,Zieglersteg,7,,52078,Aachen,,aachen@felix1.de,Standardvertrag,58167,98167,WAHR,FALSCH,Nein,2650,ADVISA Aachen,Aachen,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
73,8168,Aßlar,Schulstraße,50,,35614,Aßlar,,asslar@felix1.de,Alternativvertrag,58168,98168,WAHR,FALSCH,JA,1880,"Dernbecher, Risch & Kollegen Aßlar",Aßlar,,FALSCH,191,"2291,52",,,01.07.2014,,,Essen
74,8169,Alfter,Herseler Weg,7a,,53347,Alfter,,alfter@felix1.de,Standardvertrag,58169,98169,FALSCH,FALSCH,Nein,70,BONTAX Alfter,Alfter,"felix1-Ansprechpartner: Fr. Breda
02222/940731",FALSCH,637,"7638,48",,,01.07.2014,,,Essen
75,8173,Hilden,Schützenstraße,81,,40723,Hilden,,hilden@felix1.de,Alternativvertrag,58173,98173,FALSCH,FALSCH,Nein,1610,Kunkel&Kollegen Hilden,Hilden,keine Kapazitäten für neue Mandanten (WVL Mitte 2016),FALSCH,191,"2291,52",,,01.07.2014,,,Essen
76,8175,Essen,Wiesenstraße,55-57,,45128,Essen,,mueller-essen@felix1.de,Standardvertrag,58175,98175,FALSCH,FALSCH,Nein,6560,F.J.W. STBG Essen,Essen,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
77,8179,Hannover,Hinüberstraße,4a,,30175,Hannover,,reinhardt-hannover@felix1.de,Standardvertrag,58179,98179,WAHR,FALSCH,Ja,1992,ETL TH Hannover,Hannover,Freistellung von Gebühren von 10/15 bis 12/15,FALSCH,0,0,,,01.07.2014,30-Sep-16,,Essen
78,8180,Dortmund - Hauert (10194),Hauert,3,,44227,Dortmund,,klimeck-dortmund@felix1.de,Standardvertrag,58180,98180,FALSCH,FALSCH,Nein,710,"Dr.Klimeck,Hast&Freund Dortmund",Dortmund,,FALSCH,637,"7638,48",,,01.07.2014,29-Feb-16,,Essen
79,8181,Suhl - Blücherstraße,Blücherstraße,16,,98527,Suhl,,feldbauer-suhl@felix1.de,Alternativvertrag,58181,98181,WAHR,FALSCH,Nein,1921,ETL Feldbauer & Kollegen,Suhl,,FALSCH,191,"2291,52",,,01.07.2014,,,Erfurt
80,8182,Dresden - Blasewitzer Straße,Blasewitzer Straße,41,,01307,Dresden,,popiesch-dresden@felix1.de,Alternativvertrag,58182,98182,FALSCH,FALSCH,Nein,1780,ADMEDIO GmbH Dresden,Dresden,,FALSCH,191,"2291,52",,,01.07.2014,,,Erfurt
81,8184,Zwickau - Kolpingstraße,Kolpingstraße,31,,08058,Zwickau,,klebert-zwickau@felix1.de,Standardvertrag,58184,98184,FALSCH,FALSCH,Nein,4112,F&P Zwickau,Zwickau,,FALSCH,637,"7638,48",,,01.07.2014,,,Erfurt
82,8185,Weimar,Mozartstraße,18,,99423,Weimar,,weimar@felix1.de,Alternativvertrag,58185,98185,WAHR,FALSCH,Nein,4423,H&P Weimar,Weimar,,FALSCH,191,"2291,52",,,01.07.2014,,,Erfurt
83,8187,Steinach,Am Bahnhof,18,,96523,Steinach,,steinach@felix1.de,Standardvertrag,58187,98187,WAHR,FALSCH,Nein,4087,F&P Steinach,Steinach,,FALSCH,637,"7638,48",,,01.07.2014,,,Erfurt
84,8188,Sömmerda,Stadtring,5,,99610,Sömmerda,,soemmerda@felix1.de,Standardvertrag,58188,98188,WAHR,FALSCH,Nein,5206,Fu&P Sömmerda,Sömmerda,,FALSCH,637,"7638,48",,,01.07.2014,,,Erfurt
85,8190,Meiningen - Sachsenstraße,Sachsenstraße,7,,98617,Meiningen,,meiningen@felix1.de,Alternativvertrag,58190,98190,FALSCH,FALSCH,Nein,5422,ADVITAX Meiningen,Meiningen,,FALSCH,191,"2291,52",,,01.07.2014,,,Erfurt
86,8194,Köthen (Anhalt),Dessauer Straße,7,,06366,Köthen (Anhalt),,schulze-koethen@felix1.de,Standardvertrag,58194,98194,FALSCH,FALSCH,Nein,5309,AS-STBG Köthen,Köthen (Anhalt),,FALSCH,637,"7638,48",,,01.07.2014,31-Dez-15,,Berlin
87,8196,Freital,Poisentalstraße,55,,01705,Freital,,freital@felix1.de,Alternativvertrag,58196,98196,WAHR,FALSCH,Nein,4022,F&P Freital,Freital,,FALSCH,191,"2291,52",,,01.07.2014,,,Erfurt
88,8198,Mettmann,Am Rathaus,1,,40822,Mettmann,,mettmann@felix1.de,Standardvertrag,58198,98198,FALSCH,FALSCH,Nein,1901,Baumann&Strehlke Mettmann,Mettmann,,FALSCH,637,"7638,48",,,01.01.2015,,,Essen
89,8199,Hamburg - Hans-Henny-Jahnn-Weg,Hans-Henny-Jahnn-Weg,41-45,,22085,Hamburg,,frisch-hamburg@felix1.de,Standardvertrag,58199,98199,FALSCH,FALSCH,Nein,400,Frisch & P Hamburg,Hamburg,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
90,8020,Rostock,Adolf-Wilbrandt-Straße,14,,18055,Rostock,,rostock@felix1.de,Standardvertrag,58020,98020,WAHR,FALSCH,Nein,4076,F&P Rostock,Rostock,,FALSCH,637,"7638,48",,,01.09.2015,,,Neubrandenburg
91,8021,München - Sonnenstraße,Sonnenstraße,9,,80331,München,,muenchen@felix1.de,Standardvertrag,58021,98021,FALSCH,FALSCH,Ja,,ETL Lüdemann Wildfeuer & Partner München,München,,FALSCH,637,"7638,48",,,01.10.2015,30-Jun-16,,Essen
92,8033,Singen (Hohentwiel),Scheffelstraße,6,,78224,Singen (Hohentwiel),,bodensee@felix1.de,Alternativvertrag,58033,98033,FALSCH,FALSCH,Nein,1915,S&H Bodensee Singen,Singen (Hohentwiel),,FALSCH,191,"2291,52",,,01.04.2015,31-Mrz-16,,Essen
93,8034,Frankenberg (Eder),Obermarkt,12,,35066,Frankenberg (Eder),,frankenberg@felix1.de,Standardvertrag,58034,98034,FALSCH,FALSCH,Nein,,Engeland & P Frankenberg,Frankenberg (Eder),,FALSCH,637,"7638,48",,,01.04.2015,,,Essen
94,8035,Niedergörsdorf,Kiefernweg,26,,14913,Niedergörsdorf,OT Altes Lager,gerds-wittenberg@felix1.de,virt. Kanzlei,,,FALSCH,FALSCH,Nein,,-,-,virt. Kanzlei,FALSCH,,,,,-,,,Berlin
95,8039,Stralsund,Alter Markt,14,,18439,Stralsund,,wollschlaeger-stralsund@felix1.de,Alternativvertrag,58039,98039,FALSCH,FALSCH,Nein,5111,HOS Stralsund,Stralsund,,FALSCH,95,"1145,76",,,01.12.2014,,,Neubrandenburg
96,8040,Greifswald,Anklamer Straße,8/9,,17489,Greifswald,,greifswald@felix1.de,Alternativvertrag,58040,98040,FALSCH,FALSCH,Nein,4032,F&P Greifswald,Greifswald,,FALSCH,191,"2291,52",,,01.12.2014,,,Neubrandenburg
97,8041,Köln - Honschaftsstraße,Honschaftsstraße,288,,51061,Köln,,schlaeger-koeln@felix1.de,Alternativvertrag,58041,98041,WAHR,FALSCH,Ja,6980,Christes&Collegen Köln,Köln,,FALSCH,191,"2291,52",,,01.12.2014,,,Essen
